PC Name,Caste,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Adilabad,GEN,Andhra Pradesh,Madhusudhan Reddy Takkala,Telangana Rashtra Samithi,1140834,830601,72.8,40974,4.9,2004
Adoor,GEN,Kerala,Chengara Surendran,Communist Party Of India,960122,682227,71.1,54534,8,2004
Agra,GEN,Uttar Pradesh,Raj Babbar,Samajwadi Party,1430713,642675,44.9,57342,8.9,2004
Ahmedabad,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1382793,548391,39.7,77605,14.2,2004
Ahmednagar,GEN,Maharashtra,Gadakh Tukaram Gangadhar,Nationalist Congress Party,1295593,686554,53,75077,10.9,2004
Ajmer,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,1203803,529138,44,127976,24.2,2004
Akbarpur,GEN,Uttar Pradesh,Maya Wati,Bahujan Samaj Party,1446088,741543,51.3,58269,7.9,2004
Akola,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1271055,734524,57.8,106371,14.5,2004
Aligarh,GEN,Uttar Pradesh,Bijendra Singh,Indian National Congress,1341254,633500,47.2,2791,0.4,2004
Alipurduars,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,1045042,837257,80.1,145124,17.3,2004
Allahabad,GEN,Uttar Pradesh,Raman Singh,Samajwadi Party,1558094,656450,42.1,28383,4.3,2004
Alleppey,GEN,Kerala,Dr. K. S. Manoj,Communist Party Of India (Marxist),971154,728156,75,1009,0.1,2004
Almora,SC,Uttarakhand,Bachi Singh Rawat,Bharatiya Janta Party,1012756,504756,49.8,10052,2,2004
Alwar,GEN,Rajasthan,Dr. Karan Singh Yadav,Indian National Congress,1262622,540451,42.8,8371,1.5,2004
Amalapuram,SC,Andhra Pradesh,G.V. Harsha Kumar,Indian National Congress,904207,702715,77.7,41485,5.9,2004
Ambala,SC,Haryana,Selja,Indian National Congress,1199338,847673,70.7,234935,27.7,2004
Amethi,GEN,Uttar Pradesh,Rahul Gandhi,Indian National Congress,1324991,589559,44.5,290853,49.3,2004
Amravati,GEN,Maharashtra,Anant Gudhe,Shiv Sena,1204881,675653,56.1,14234,2.1,2004
Amreli,GEN,Gujarat,Nilaben Virjibhai Thummar,Indian National Congress,1025515,475548,46.4,2030,0.4,2004
Amritsar,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,1292902,711808,55.1,109532,15.4,2004
Amroha,GEN,Uttar Pradesh,Harish Nagpal,Independent,1342541,885155,65.9,17884,2,2004
Anakapalli,GEN,Andhra Pradesh,Chalapathirao Pappala,Telugu Desam,1023113,781746,76.4,15414,2,2004
Anand,GEN,Gujarat,Solanki Bharatsinh Madhavsinh,Indian National Congress,1145550,591698,51.7,61085,10.3,2004
Anantapur,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,1280923,873370,68.2,73404,8.4,2004
Anantnag,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,998905,146632,14.7,38938,26.6,2004
Andaman & Nicobar Islands,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,241645,153804,63.7,30500,19.8,2004
Aonla,GEN,Uttar Pradesh,Kunwar Sarvraj Singh,Janata Dal (United),1145865,536458,46.8,6871,1.3,2004
Arakkonam,SC,Tamil Nadu,"Velu, R.",Pattali Makkal Katchi,1160259,773529,66.7,102196,13.2,2004
Arambagh,GEN,West Bengal,Anil Basu,Communist Party Of India (Marxist),1187610,961186,80.9,592502,61.6,2004
